Name,text,hashtag_novax,hashtag_antivax,hashtag_cdcwhistleblower,hashtag_vaccineinjury,hashtag_vaxxed,hashtag_cdcfraud,stance,author_username,source_username,nlp_clusters
1339873223442350080,"@TheRealJoeFrom1 Err yes they can, and they will!!
They’re inserting these chips into us and connecting them to the 5G so that they can track and monitor our brains waves, to control and manipulate the masses!
Proud to not take the vaccine, do some research #AntiVax #CovidVaccine #MAGA #microchip",0,0,0,0,0,0,Anti-Vaxx,EmilyWheelhous1,EmilyWheelhous1,Political/Conspiracy
1339968655082225664,"Pence with the 6 ? ? “shot” 😬 

#markofthebeast #Pence #pencevaccine #VAXXED https://t.co/0HS7h4eGYm",0,0,0,0,0,0,Anti-Vaxx,TheNWOisHERENOW,,Info-Sharing
1338452108958429185,"US total deaths for full year of 2019 - 2.9 million  
US total deaths thru Nov. 2020 - 2.5 million
#Scamdemic #Plandemic #Masquerade #VAXXED",0,0,0,0,0,0,Anti-Vaxx,MrCrazee,,Political/Conspiracy
1339658335746985985,"@sheepskindee @AndyInLondon1 @Nigel_Farage I even see you are #NoVax...
What have I missed out on?
Are vaccines perhaps a scheme to inject mercury into our veins and transform us into robots remote controlled by Bill Gates via the 5G network? Please explain...
I am curious to hear about it...",0,0,0,0,0,0,Anti-Vaxx,RyanSmi82971580,RyanSmi82971580,Political/Conspiracy
1338840707172208643,"@RachelNotley So, why are the streets not full of dead people?
Oh wait, that's next week when the suicides start and the once prosperous middle class are freezing to death on the streets. Unless they get #VAXXED .

#FearPorn peddler .
#hcQisTheCure 
#GreatBarringtonDeclaration https://t.co/byErHQegrA",0,0,0,0,0,0,Anti-Vaxx,banned_non,banned_non,Political/Conspiracy
1339815216780107776,Nurse passes out on live tv after taking vaccine! #BREAKING #passedout #vaccine #VAXXED #vaccination #Vaccinatie #PfizerBioNTech #MAGA2020 #KAG2020 #Agenda21 #CoronavirusVaccine #BreakingNews https://t.co/aMaU12i5e9,0,0,0,0,0,0,Anti-Vaxx,Nypatriot1978,,Other
1339964294205644801,0.3 mL of happiness 🥳 So thankful for the entire team @pfizer @BioNTech_Group that has given us hope when there was none  #ScienceIsCool #VAXXED #COVID19Vaccine #medtwitter #IDtwitter https://t.co/E649TYWnl2,0,0,0,0,0,0,Pro-Vaxx,drgabx,,Political/Conspiracy
1338881030581858306,"This program is a “no-fault” program, meaning the vaccine manufacturer (pharmaceutical company) nor the government will be held liable for the #vaccineinjury. It’s is similar to the National Childhood Vaccine Injury Act created by the United States in 1986,",0,0,0,1,0,0,Anti-Vaxx,Killing87152220,Killing87152220,Political/Conspiracy
1340013356929859584,You work at Panera Bread !! No one wants to microchip you!!  #antivax #antivaxxers #AntiVaccine #AntiVaccine #COVID19 #provax #provaxx #provaccine #vaccine https://t.co/JHi5SOUrZo,0,1,0,0,0,0,Anti-Vaxx,MerrilyMerrily5,,Info-Sharing
1339941480715202562,"#VAXXED #vaccinatedtosavelives @AUG_Health 
Never been so excited to get a shot 
@purviparwani @iamritu @rajdoc2005 @mmamas1973 @KimAtianzar @drankitjain @DrToniyaSingh @poojaotherwise @ShelbyKuttyMD https://t.co/ydIuD8lplO",0,0,0,0,0,0,Pro-Vaxx,PushpaShivaram,,Info-Sharing
1340089843431432194,"My whole hospital family is getting their #CovidVaccine starting today.  I'm so excited to be able to close the book on this pandemic.

I want to give hugs.  I want to go to a stadium, a concert, a theater.  It is coming.

Get your shot!

#covid #vaccine #vaccines #VAXXED",0,0,0,0,0,0,Pro-Vaxx,DanVanRN,,Political/Conspiracy
1340043296467537924,Some things just require a little common sense 😏#NOI #Farrakhan #antivaxxers #antivaxx #antivax https://t.co/fyHWySLtLH,0,1,0,0,0,0,Pro-Vaxx,ChadaChanel,,Info-Sharing
1339813837835538433,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

What could [they] have on DeNiro to get him to remove #VAXXED when his son suffers from #Autism ? 🤔 https://t.co/YzCHTGtNjl",0,0,0,0,0,0,Anti-Vaxx,RomaAntiquaUnus,RomaAntiquaUnus,Info-Sharing
1339812792849850373,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

Now why would Robert remove #VAXXED when his son suffers? 🤔 https://t.co/Z269SM4Ben",0,0,0,0,0,0,Anti-Vaxx,RomaAntiquaUnus,RomaAntiquaUnus,Info-Sharing
1338886356420980739,"@RealCandaceO Can we give a shout out to all the parents of vax injured kids who have gotten laughed at, discriminated against, kicked out of Drs offices &amp; school for sharing their stories &amp; trying to help their children by not allowing them to be poisoned AGAIN. #Educateb4Vax #CDCFraud",0,0,0,0,0,0,Anti-Vaxx,luckykelsey,luckykelsey,Political/Conspiracy
1339926516327714816,"What happen to the Flu???? The most prescribed medication for the Flu is Tamiflu, since Covid 19 this prescription has sank...Stop Lying to the American People every diagnosis is not #COVID19 #DOCTORS #antivax #antimask",0,1,0,0,0,0,Anti-Vaxx,Adamsof60,,Political/Conspiracy
1339757848868360192,"How's that vaccine working for you...?

#VaccinePoison #VaccineAgenda #DoNotConsent #SayNoToVaccines #BioTerror #antivax #CovidVaccine https://t.co/rYzYQ0P9eD",0,1,0,0,0,0,Anti-Vaxx,EOTStormPodcast,,Info-Sharing
1339797301422919680,"@richardursomd Did she just get the vaccine?  I'm a nurse, and no way in heck I'd take some vaccine that's made in 6 months!   It takes years to get a vaccine right. Ppl are gonna die, and they'll say it was covid.  #antivax , #no2serpentbite",0,1,0,0,0,0,Anti-Vaxx,Liz63186604,Liz63186604,Other
1339877425916895237,"More #antivax nonsense, Nurse FAINTS moments after receiving coronavirus jab in another flop for confidence-building PR drive (VIDEO) — RT USA News https://t.co/46Gbgt4Ej2 so what a miniscule number of people react badly, its the way it is",0,1,0,0,0,0,Pro-Vaxx,wezlangdon,,Info-Sharing
1339966479870128128,Got my first COVID vax shot yesterday and I’m not even dead yet! Follow me for more life hacks. #Vaccine #antivax  #ThisIsOurShot #vaccination #mRNA #Covid_19 #nursetwitter #mycovidvax,0,1,0,0,0,0,Pro-Vaxx,Jesslooknaround,,Political/Conspiracy
1339395928130785280,"The @CDCgov is planning on a #Covid #VaccineInjury #epidemic! 1000s of 'doctors &amp; nurses' r questioning &amp; wanting to #OptOut of having the #vaccine. What does THIS tell us?
(Ignore Twitter warning of #Bitchute links.)
https://t.co/zWsFmZDhwV",0,0,0,0,0,0,Anti-Vaxx,Artsie_ladie,Artsie_ladie,Political/Conspiracy
1339912370135699456,This video is being posted and implying that the nurse passed out as a reaction to the vaccine. A quick search proves otherwise. #antivax #VaccinesWork https://t.co/bTQ2CJtvIg,0,1,0,0,0,0,Pro-Vaxx,CoffeeHouseJay1,,Info-Sharing
1339746759728349188,"The kids we take care of have the super powers that amaze us every day but today, the Pedi GI team got a shot of a special super power. #VAXXED Very special to do it with the best group and friends I could ever ask to work with. @PedDrJ @DrJonnyR  @bswhealth_Templ https://t.co/juC4xVEeRh",0,0,0,0,0,0,Pro-Vaxx,hash2hash,,Political/Conspiracy
1339364821192470530,The only thing more obvious than Democrats cheating is the media pretending it didn't happen. #stopthesteal #seattle #kingcounty #Washington #billgates #inslee #MailInBallots #Dominion #China #chinazi #UnitedNations #globalist #Vaccines #vaccineInjury #biometrics #coronavirus,0,0,0,0,0,0,Anti-Vaxx,SuicideSeattle,,Political/Conspiracy
1339338985831690240,".@HawleyMO ""74 Million Americans are not going to shut up"" #stopthesteal  #seattle #kingcounty #Washington #billgates #inslee #MailInBallots #Dominion #China #chinazi #UnitedNations #globalist #Vaccines #vaccineInjury #biometrics #coronavirus #Censorship https://t.co/7HKtmLHcGr",0,0,0,0,0,0,Anti-Vaxx,SuicideSeattle,,Info-Sharing
1339336973786484747,"""It'll take a few weeks for me to have some immunity, but I definitely feel safer knowing that me and my coworkers will be vaccinated against this virus,"" Lopez said...
Pray her for friends #VaccineInjury #homeopathyworks  https://t.co/MXjsWo93Sq",0,0,0,0,0,0,Anti-Vaxx,TruthBegetsLife,,Political/Conspiracy
1339765458027724800,"I find it very odd that it’s so unacceptable to simply question a vaccine. You are considered an “anti-vaxer” simply to want to wait until long term human data is presented before accepting a vaccine. Why are vaccines so immune to scientific scrutiny?
#followthescience 
#VAXXED",0,0,0,0,0,0,Anti-Vaxx,Conservataria18,,Political/Conspiracy
1339967033660739584,"Hundreds employees infected with CCP virus after taking vaccine

This is your (n + 1)th reminder that vaccines give u disease under the pretext of saving you from disease

#VaccineInjury #VaccineAgenda #VaccinesKill #CovidVaccine #Scamdemic #CoronaVaccine
https://t.co/ohnvXpcKZL",0,0,0,0,0,0,Anti-Vaxx,Scimitar_SS,,Political/Conspiracy
1339245381536772097,"I'm not taking a vaccine for CV19. I'm not taking it 3 weeks from now, next year, or several years from now. I'm not waiting to see how or if it works. It's unnecessary and a mandate for it is morally wrong. Stop submitting while it's still a peaceful option.
#NoVaccine
#NoVax",0,0,0,0,0,0,Anti-Vaxx,MarDBallJr,,Political/Conspiracy
1339310873815367680,"Seems a bit odd to have “at home” syringes for this “deadly” disease we’ve shut the world down for! 🙄 #NoVax #CovidHoax Just sayin 🤷🏼‍♀️
3/3 https://t.co/59lci91jQM",0,0,0,0,0,0,Anti-Vaxx,KelseyR30329626,KelseyR30329626,Political/Conspiracy
1339411971087601664,"#California, the latest epicenter, is reporting more coronavirus cases than most countries in the world... 
#coronavirus #COVID19 #health #virus #vaccine #healthcare #lockdown #covid_19 #pandemic #economy #corona #VaxXed #sideeffects #vaccines #ppe covid19
https://t.co/3Er7saBiHX",0,0,0,0,0,0,Anti-Vaxx,TopFeaturedcom,,Info-Sharing
1338575720340217857,"@brianlilley @angusreidorg I think they only want to get #VAXXED due to lockdown. if we weren't locked down, no one would take this thing frankenvaxx from hell.",0,0,0,0,0,0,Anti-Vaxx,RobAdam74497148,RobAdam74497148,Political/Conspiracy
1339319542011539462,"@epigwhisp @FritsCordoba Owwwwww we need this everywhere.....🙏
Seen the #novax trucks in LA?
Its going fast now, too much good news flushes the world🥰😝
#GreatAwakeningWorldwide #ResetReset #notest #novax #PCRgate #NarcSurvivor #DYOR #Freedom #DoYourPart https://t.co/tLzgt7XDqb",1,0,0,0,0,0,Anti-Vaxx,OliviaP28146643,OliviaP28146643,Political/Conspiracy
1338540672144568321,"Just in case people missed this, here it is again.

The claim is that studies have not been done comparing vaccinated and unvaccinated children, that's a blatant lie.

40+ images at the link.

https://t.co/VA4RhYfKUJ

#vaccines #VAXXED #vaxaware #LearnTheRisk #prochoice https://t.co/4bkGt4v1XN",0,0,0,0,0,0,Anti-Vaxx,MyNameIsEarlB,,Info-Sharing
1339651947285065728,"They poison our food &amp; water for the same reason they want you injected with it. (Aside from the fact they want you sick &amp; stupid)

They know you aren’t going to do anything about it. If you do, you are censored, shunned, mocked, lose your job, or worse. 

#Censored #VAXXED",0,0,0,0,0,0,Anti-Vaxx,Lis17m,,Political/Conspiracy
1339908599703846912,"@JSDH_S @k_klo224743370 Please react on all my points please.....
#notest #novax",1,0,0,0,0,0,Anti-Vaxx,OliviaP28146643,OliviaP28146643,Political/Conspiracy
1339961463872622595,"#NoMask #NoVax

STUDY: Flu Vaccine Raises Risk of COVID Death - Correlation Confirmed by Scientific Analysis via @gatewaypundit https://t.co/9fyY46FiRQ",0,0,0,0,0,0,Anti-Vaxx,Seven77Ryn,,Info-Sharing
1339278651674808322,"@SpunkyStrings Ooooh I've got some places I can drop this!!!!!😁😁😁😁😁🤣🥰
#retractionpaper #PCRgate #notest #novax",1,0,0,0,0,0,Anti-Vaxx,OliviaP28146643,OliviaP28146643,Political/Conspiracy
1339873636040073216,"after over 100hours of build time in @dualuniverse the SubLight Tower is complete, standing at a height of 127m with just shy of 30,000 meters cubed of honeycomb this project has been challenging yet satisfying experience. #NovaX #SubLight #voxel https://t.co/NdW1OWcaY7",0,0,0,0,0,0,Anti-Vaxx,NovaXCulphy,,Political/Conspiracy
1338643402699669504,"@AHS_media @jkenney They increased the lockdown conditions so they can force you to take their poisonous vaccine.
They figure you will accept being poisoned in order to gain you lives and freedom back. 
#vaxxed @RachelNotley 
#OpenABNOW #VaccinesArePoisons.
Next, you won't be allowed back to work!💣",0,0,0,0,1,0,Anti-Vaxx,banned_non,banned_non,Political/Conspiracy
1339491671680139265,"@Neacht Lost public trust.

Next up: #vaccineINJURY",0,0,0,0,0,0,Anti-Vaxx,IvanaMariaB,IvanaMariaB,Political/Conspiracy
1339531741451706369,@DrMadej All of these people who know the truth are waiting for you and I to take this #VaccineInjury filled nonsense first before they do. No thank you. I’ll pass. #Sheeple,0,0,0,0,0,0,Anti-Vaxx,TruthBegetsLife,TruthBegetsLife,Political/Conspiracy
1338644071003262976,"@RachelNotley They increased the lockdown conditions so they can force you to take their poisonous vaccine.
They figure you will accept being poisoned in order to gain you lives and freedom back. 
#vaxxed @RachelNotley 
#OpenABNOW #VaccinesArePoisons.
Next, you won't be allowed back to work!💣",0,0,0,0,1,0,Anti-Vaxx,banned_non,banned_non,Political/Conspiracy
1338712185183162368,"@GavinNewsom Oh you and Trump can stuff your warped vaccine. Vaccines are not required when 99-100% recover. #ZelenkoProtocol works.
Vitamins and minerals work.
#vaxxed",0,0,0,0,1,0,Anti-Vaxx,EleutheriaAll,EleutheriaAll,Political/Conspiracy
1339394873300901888,@CNBCtech Like truth about #VaccineInjury?,0,0,0,0,0,0,Anti-Vaxx,TheHiddenJewell,TheHiddenJewell,Political/Conspiracy
1339481612443127808,"@simondolan 😂😂😂

William Shakepeare!

Hancock having a little laugh.

Any real guinea pigs going for this? Watch this space #vaccineINJURY",0,0,0,0,0,0,Anti-Vaxx,IvanaMariaB,IvanaMariaB,Political/Conspiracy
1339738038046486530,@RussellOkung I could name numerous books and videos that have been removed. Doesn’t need to 1984 - check the 5 star rated documentary #vaxxed about CDC whistleblower #drwilliamthompson - it’s gone...,0,0,0,0,1,0,Anti-Vaxx,othersideam,othersideam,Political/Conspiracy
1339611670948278272,Thanks to President Reagan #Pfizer #PfizerCOVIDvaccine #Pfizervaccine #PfizerBioNTech #PfizerBiotech #Moderna #CovidVaccine #CovidVaccines #covidvax #CovidVaccination #CoronaVaccine #BigPharma #Covid1984 #VAXXED #vaccine #vaccination #Health #VaccineInjury https://t.co/UoWjiOyVrU,0,0,0,0,0,0,Anti-Vaxx,CALEBHITT,,Info-Sharing
1339921910163976192,@CryptoBull2020 Can we now openly discuss #vaccineinjury and the fact manufacturers have no liability?,0,0,0,1,0,0,Anti-Vaxx,MRomaniec,MRomaniec,Political/Conspiracy
1338521212255752196,"@flyLAXairport @GavinNewsom @FAANews @FedEx @TSA @lapublichealth @MayorOfLA @CDCgov @LAFD @ACIWorld #NoVaccineForMe 
Instead of preying upon the poor minority of CA (Black, Brown, Native), ALL the #VaxxCult People who push and profit from vaccines should take the #DarkWinter poison jab FIRST! @LAPDHQ @911LAPD @LASDHQ @OCSheriff #VaxXed #ArrestBillGates @CNN https://t.co/pSLkxLNFpm",0,0,0,0,0,0,Anti-Vaxx,MariaRivera_OC,MariaRivera_OC,Political/Conspiracy
1339813619991605251,"#CovidVaccine - listen to what happened the last time 
#Fauci &amp; Slaoui rushed a vaccine (Pandemrix) to the market in a few months for H1N1 - narcolepsy to catalepsy

The deadly scam called vaccine companies 

The David Knight Show

#Moderna #VaccineInjury

https://t.co/w6QCZLwZaC",0,0,0,0,0,0,Anti-Vaxx,Scimitar_SS,,Political/Conspiracy
1339379829381087232,"WHO, CDC, Fauci, Bill Gates are all corrupt and responsible for crimes against humanity! #stopthesteal #seattle #kingcounty #Washington #billgates #COVID19 #ConstitutionOverCoronavirus #tyranny #coronavirus #BioWeapon #vaccineInjury #COVID19 #Covid_19 #COVID #CoronaVirusUpdate https://t.co/oK4m2ImwGq",0,0,0,0,0,0,Anti-Vaxx,SuicideSeattle,,Info-Sharing
1340010334212546564,"@DebarringtonH @thedailybeast I could understand the elderly, but have all the #Medical Professionals / Frontline Workers been #Vaxxed yet ? I mean ALL 😷",0,0,0,0,0,0,Anti-Vaxx,AkAMasterPiece,AkAMasterPiece,Political/Conspiracy
1339509819644907521,@KanChristo @JohnTung_Sky @turkey49944399 @ztf3658 @XDRKSuJAOqiydnC @witchhunter1968 @BryarDaniel @zlj517 Would you make an equivalent  statement for White people anywhere on the globe? Mr? #vaxxed #cuckservative https://t.co/amPr8BH88H,0,0,0,0,1,0,Anti-Vaxx,TCollaborator,TCollaborator,Info-Sharing
1339560837707608064,@NewHampJournal I don't have a problem with that at all!  And when the #Vaxxed realize the #UnVaxxed are healthier and with no cases of Autism we will welcome them to the #UnVaxxed community with open arms...,0,0,0,0,0,0,Anti-Vaxx,Gwg1955,Gwg1955,Political/Conspiracy
1339965665462108160,"@DailyCaller He isn't dumb enough to take an untested, experimental mRNA vaccine. 

TN Nurse Faints After Taking Vaccine (LIVE ON AIR) https://t.co/2wiNGhb5p7 via 
@YouTube
 
#Vaccineinjury
#COVID19",0,0,0,0,0,0,Anti-Vaxx,tabbyday,tabbyday,Info-Sharing
1340029547102801920,"For our patients, for our families and for our baby girl! #vaxxed #worththeshot @jfryoux1 @UMMCMedicine @UMMCnews https://t.co/YJLSVYyd58",0,0,0,0,1,0,Pro-Vaxx,Eamfryoux,,Info-Sharing
1339984956840239105,@HawleyMO With a 99.9% recovery rate HCQ Cures CovID so no need to be #VaXxed. #HCQ should be available over the counter,0,0,0,0,0,0,Anti-Vaxx,QueenofStars13,QueenofStars13,Political/Conspiracy
1339964673190346752,Ohh Instagram models how the tables have turned... #VAXXED #SPIKED https://t.co/iqJUPNkiAt,0,0,0,0,0,0,Pro-Vaxx,JohnRMontford,,Info-Sharing
1339819084242972679,"𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #StopTheVax 

These #Vaccine's need to be STOPPED! #VAXXED https://t.co/nt44JUm5Eq",0,0,0,0,0,0,Anti-Vaxx,RomaAntiquaUnus,RomaAntiquaUnus,Info-Sharing
1339426678460833795,"@rcunknown47 @RealCandaceO The working class, elderly, disabled will forced to get #Vaxxed. Covid vax sterilizes = social distancing, population control.",0,0,0,0,0,0,Anti-Vaxx,CaraMastrey,CaraMastrey,Political/Conspiracy
1339416200347054081,"@AC360 @drsanjaygupta More die from cancer. 
Where's the cure? 

No to getting #Vaxxed thanks",0,0,0,0,0,0,Anti-Vaxx,CaraMastrey,CaraMastrey,Political/Conspiracy
1339040902921261057,@JoeBiden Good . Be the president for #vaccine #injured #Americans by #Repealingthe1986 #vaccineinjury act. #Restore #liability for #vaccine #manufacturers. That’s how we #heal. That’s how we #bridge a #divide and create #trust. 🇺🇸,0,0,0,1,0,0,Anti-Vaxx,FreedomSpartan,FreedomSpartan,Political/Conspiracy
1339278855366975493,"@eliowa @uihealthcare Natural Selection Science at its finest. 

Go for it Dude!! 🤣

Can't fix STUPID. 

Actually seems #CCP #Pfizer is fixing STUPID as we speak.  

You can have the #VAXXED shares intended for #WeThePeople https://t.co/tUkwIip0Pc",0,0,0,0,0,0,Anti-Vaxx,rfgph,rfgph,Political/Conspiracy
1339260177464389633,#vaccines #children #parents #vaccineinjury  A MUST WATCH AND SHARE 🙏 👇   Facts About Vaccines The Government Doesn't Want You To Know About https://t.co/NEdKWKSQ8T,0,0,0,1,0,0,Anti-Vaxx,mandycurrie4,,Info-Sharing
1340111442650009601,"@Controla_Virus 𝑹𝑶𝑴𝑨 𝑨𝑵𝑻𝑰𝑸𝑼𝑨 𝑼𝑵𝑼𝑺 ⚖️ 𝑽𝑬𝑹𝑰𝑻𝑨𝑺 ~ 𝑨𝑬𝑸𝑼𝑰𝑻𝑨𝑺

#RomaAntiquaUnus #VeritasAequitas #NotHappening 

That's a negative Midnight Rider &amp; @seanspicer Says NO!

#JustSayNo #NoVax #NoVaccine #NoVaccines #NotGonnaDoIt https://t.co/uMwR95W0Uj",0,0,0,0,0,0,Anti-Vaxx,RomaAntiquaUnus,RomaAntiquaUnus,Info-Sharing
1339969839465684992,"@SputnikInt Because the #COVID vaccine is going so well in the US 🤑

TN Nurse Faints After Taking Vaccine (LIVE ON AIR) https://t.co/GDd8T7Ndmq
 
#Vaccineinjury",0,0,0,0,0,0,Anti-Vaxx,tabbyday,tabbyday,Info-Sharing
1338162955418968065,@DanaAlexaNews @OANN Pass for me #NoVax #KeepChristmas,0,0,0,0,0,0,Anti-Vaxx,tonebone721,tonebone721,Political/Conspiracy
1337923954699223040,"@SenSanders @HawleyMO What fuckery! You create the problem and then offer a paltry solution. We won’t be enslaved by you or anyone else. 

#OpenAmerica
#NoMasks
#NoVax 
#LiveFreeOrDie 
#1776",0,0,0,0,0,0,Anti-Vaxx,ww_patriot_co,ww_patriot_co,Political/Conspiracy
1337927903565275136,@Thomas1774Paine Keep the $1500. They can shove it where the sun don’t shine. #NoVax,0,0,0,0,0,0,Anti-Vaxx,jujuba831,jujuba831,Political/Conspiracy
1338203261581602817,@BlacklistedNews Shove the poison up your ass.  #NOVAX,0,0,0,0,0,0,Anti-Vaxx,r_kerr,r_kerr,Political/Conspiracy
1338307326915223552,@tomselliott @BillGates Fuck @BillGates @gatesfoundation &amp; @melindagates All of them. #NoVax,0,0,0,0,0,0,Anti-Vaxx,Intuition_useit,Intuition_useit,Political/Conspiracy
1338524619171639299,@CJBowden1 @Newsweek No thanks.  #NoVax,0,0,0,0,0,0,Anti-Vaxx,yah_follow,yah_follow,Political/Conspiracy
1340112876686684162,This is the list of ingredients in vaccines today. This list was released by the CDC. Look up what some of these ingredients are and tell me you are still okay with pumping your kids full of them. I'm not. #antivax #antivaxxer #SayNoToVaccines https://t.co/2j0nLGXfBC,0,1,0,0,0,0,Anti-Vaxx,rallygirlz08,,Political/Conspiracy
1337642191653462016,"@ScottPresler @realDonaldTrump I'm sorry Scott but I thought you would be against a vaccine that governors can mandate at their will. So disappointed in everyone on the Right going sheep for the vaxx.
#novax",1,0,0,0,0,0,Anti-Vaxx,Annie4Trump2020,Annie4Trump2020,Political/Conspiracy
1339661378303365121,"@libertytarian 💉💉💉💉💉💉💉💉💉💉💉💉💉💉
~~  MODERNA Clinical Study Protocol ~~
💉💉💉💉💉💉💉💉💉💉💉💉💉💉

😲#CovidVaccine may cause increase risk of disease

SOURCE: Page 32
https://t.co/OYJMJvvMvh

👇👇👇👇👇👇 #NoVax 👇👇👇👇👇👇 https://t.co/3B2Aifq9wA",0,0,0,0,0,0,Anti-Vaxx,VeryNiagara,VeryNiagara,Info-Sharing
1339439667532492802,"@RichardUtrecht @BorgerPieter @rivm @MinPres @hugodejonge @Eurosurveillanc @c_drosten @WHO Gaat vanzelf
Just keep putting your drops in that bucket😊
Watch Flavio blckbx met de heer de Wit
#PCRgate #notest #novax #DYOR #DoYourPart 
#HumanRightsViolation #GreatAwakeningWorldwide 
#retractionpaper",1,0,0,0,0,0,Anti-Vaxx,OliviaP28146643,OliviaP28146643,Political/Conspiracy
1339519730655367168,"@Iperbole_ In fact, the #NoVax in Italy seem actually superfluous, and even more senseless than the normal - considering that very likely there will be not enough doses for all the citizens. At least not within the necessary time.",0,0,0,0,0,0,Anti-Vaxx,XERDAN_Design,XERDAN_Design,Political/Conspiracy
1339653082695778306,"@TraceyOMahony81 @sarahlmulligan Compromising ones entire existence by accepting, coerced or otherwise, a vax which does not stop the transmission of a virus and includes Messenger RNA genetic altering technology + dna cell lines of aborted male foetus + sterilisation +, is the redefinition of insanity #NoVax",0,0,0,0,0,0,Anti-Vaxx,Eisdus,Eisdus,Political/Conspiracy
1339656997084557320,"@kurteichenwald @pfizer @WhiteHouse Why are you pushing vaccines?  Who in their right mind would want to put that into their body? There are NO Covid antibodies in it!  So who is winning from Covid 19?  China, big pharma, Bill Gates, Amazon, Target, Walmart.  Follow the $. #NoVax https://t.co/VCWxgG7ZRf",0,0,0,0,0,0,Anti-Vaxx,becca_liberty,becca_liberty,Political/Conspiracy
1339378154041950208,@VinGuptaMD You’re a controlled freak. We don’t care about what you do. Globalists can go fuck themselves after all you pigs love double dipping. Not my style. #NoMask #novax,1,0,0,0,0,0,Anti-Vaxx,JLRoss5,JLRoss5,Political/Conspiracy
1339756973915398144,@clerysboy @GayleneSass The smart money says #NoVax https://t.co/kaqFkdFkXw,0,0,0,0,0,0,Anti-Vaxx,ClarenceEmswor2,ClarenceEmswor2,Info-Sharing
